system,name,param,mr_score,noon_0,noon_1,ansatz,layers,n_qubits,n_params,depth,n_2q,E_HF,E_FCI,E_VQE,vqe_error,target_error,meets_target
H2,H2_R0.70,0.7,0.8966291482484162,1.173179875415303,0.06980902366371933,HEA,1.0,4,4.0,5.0,3.0,-1.11734903499028,-1.136189454065923,-0.5218855602999384,0.6143038937659846,0.0016,False
H2,H2_R0.70,0.7,0.8966291482484162,1.173179875415303,0.06980902366371933,HEA,2.0,4,8.0,8.0,6.0,-1.11734903499028,-1.136189454065923,-0.4784472716687752,0.6577421823971478,0.0016,False
H2,H2_R0.70,0.7,0.8966291482484162,1.173179875415303,0.06980902366371933,HEA,3.0,4,12.0,11.0,9.0,-1.11734903499028,-1.136189454065923,-1.1355930336710025,0.0005964203949204716,0.0016,True
H2,H2_R0.70,0.7,0.8966291482484162,1.173179875415303,0.06980902366371933,HEA,4.0,4,16.0,14.0,12.0,-1.11734903499028,-1.136189454065923,-1.1361871109868578,2.3430790652145816e-06,0.0016,True
H2,H2_R0.70,0.7,0.8966291482484162,1.173179875415303,0.06980902366371933,HEA,5.0,4,20.0,17.0,15.0,-1.11734903499028,-1.136189454065923,-1.1359918159696383,0.00019763809628470241,0.0016,True
H2,H2_R0.70,0.7,0.8966291482484162,1.173179875415303,0.06980902366371933,HEA,6.0,4,24.0,20.0,18.0,-1.11734903499028,-1.136189454065923,-1.1336051779585317,0.0025842761073913145,0.0016,False
H2,H2_R0.70,0.7,0.8966291482484162,1.173179875415303,0.06980902366371933,HEA_required,3.0,4,,11.0,9.0,-1.11734903499028,-1.136189454065923,-1.1355930336710025,0.0005964203949204716,0.0016,True
H2,H2_R0.70,0.7,0.8966291482484162,1.173179875415303,0.06980902366371933,UCCSD,0.0,4,0.0,0.0,0.0,-1.11734903499028,-1.136189454065923,,,,
H2,H2_R0.91,0.91,0.8419134965062792,1.259682092177337,0.10159558868361629,HEA,1.0,4,4.0,5.0,3.0,-1.089792603961167,-1.11897446374882,-0.5752847827116847,0.5436896810371352,0.0016,False
H2,H2_R0.91,0.91,0.8419134965062792,1.259682092177337,0.10159558868361629,HEA,2.0,4,8.0,8.0,6.0,-1.089792603961167,-1.11897446374882,-0.6893584970349551,0.4296159667138648,0.0016,False
H2,H2_R0.91,0.91,0.8419134965062792,1.259682092177337,0.10159558868361629,HEA,3.0,4,12.0,11.0,9.0,-1.089792603961167,-1.11897446374882,-1.1189711884159703,3.2753328496060163e-06,0.0016,True
H2,H2_R0.91,0.91,0.8419134965062792,1.259682092177337,0.10159558868361629,HEA,4.0,4,16.0,14.0,12.0,-1.089792603961167,-1.11897446374882,-1.1189740211381953,4.4261062459582945e-07,0.0016,True
H2,H2_R0.91,0.91,0.8419134965062792,1.259682092177337,0.10159558868361629,HEA,5.0,4,20.0,17.0,15.0,-1.089792603961167,-1.11897446374882,-1.1187173528784606,0.0002571108703592895,0.0016,True
H2,H2_R0.91,0.91,0.8419134965062792,1.259682092177337,0.10159558868361629,HEA,6.0,4,24.0,20.0,18.0,-1.089792603961167,-1.11897446374882,-0.6883891062440514,0.43058535750476856,0.0016,False
H2,H2_R0.91,0.91,0.8419134965062792,1.259682092177337,0.10159558868361629,HEA_required,3.0,4,,11.0,9.0,-1.089792603961167,-1.11897446374882,-1.1189711884159703,3.2753328496060163e-06,0.0016,True
H2,H2_R0.91,0.91,0.8419134965062792,1.259682092177337,0.10159558868361629,UCCSD,0.0,4,0.0,0.0,0.0,-1.089792603961167,-1.11897446374882,,,,
H2,H2_R1.12,1.12,0.820060260593652,1.3364613993520031,0.15652165994565514,HEA,1.0,4,4.0,5.0,3.0,-1.0309183850566546,-1.0750997514652245,-0.8001745441784984,0.2749252072867261,0.0016,False
H2,H2_R1.12,1.12,0.820060260593652,1.3364613993520031,0.15652165994565514,HEA,2.0,4,8.0,8.0,6.0,-1.0309183850566546,-1.0750997514652245,-0.8001538399966378,0.2749459114685867,0.0016,False
H2,H2_R1.12,1.12,0.820060260593652,1.3364613993520031,0.15652165994565514,HEA,3.0,4,12.0,11.0,9.0,-1.0309183850566546,-1.0750997514652245,-1.0750720966741778,2.76547910467162e-05,0.0016,True
H2,H2_R1.12,1.12,0.820060260593652,1.3364613993520031,0.15652165994565514,HEA,4.0,4,16.0,14.0,12.0,-1.0309183850566546,-1.0750997514652245,-1.0750965156282999,3.2358369246310303e-06,0.0016,True
H2,H2_R1.12,1.12,0.820060260593652,1.3364613993520031,0.15652165994565514,HEA,5.0,4,20.0,17.0,15.0,-1.0309183850566546,-1.0750997514652245,-1.0748916154909363,0.00020813597428825936,0.0016,True
H2,H2_R1.12,1.12,0.820060260593652,1.3364613993520031,0.15652165994565514,HEA,6.0,4,24.0,20.0,18.0,-1.0309183850566546,-1.0750997514652245,-1.0345784007660452,0.04052135069917928,0.0016,False
H2,H2_R1.12,1.12,0.820060260593652,1.3364613993520031,0.15652165994565514,HEA_required,3.0,4,,11.0,9.0,-1.0309183850566546,-1.0750997514652245,-1.0750720966741778,2.76547910467162e-05,0.0016,True
H2,H2_R1.12,1.12,0.820060260593652,1.3364613993520031,0.15652165994565514,UCCSD,0.0,4,0.0,0.0,0.0,-1.0309183850566546,-1.0750997514652245,,,,
H2,H2_R1.33,1.33,0.859393546477421,1.3839360943297754,0.24332964080719643,HEA,1.0,4,4.0,5.0,3.0,-0.9644158954174789,-1.0295964455378634,-0.8613245967639936,0.1682718487738698,0.0016,False
H2,H2_R1.33,1.33,0.859393546477421,1.3839360943297754,0.24332964080719643,HEA,2.0,4,8.0,8.0,6.0,-0.9644158954174789,-1.0295964455378634,-0.8613246165926824,0.168271828945181,0.0016,False
H2,H2_R1.33,1.33,0.859393546477421,1.3839360943297754,0.24332964080719643,HEA,3.0,4,12.0,11.0,9.0,-0.9644158954174789,-1.0295964455378634,-1.0293676326915668,0.00022881284629661103,0.0016,True
H2,H2_R1.33,1.33,0.859393546477421,1.3839360943297754,0.24332964080719643,HEA,4.0,4,16.0,14.0,12.0,-0.9644158954174789,-1.0295964455378634,-1.0295942448078144,2.2007300490844983e-06,0.0016,True
H2,H2_R1.33,1.33,0.859393546477421,1.3839360943297754,0.24332964080719643,HEA,5.0,4,20.0,17.0,15.0,-0.9644158954174789,-1.0295964455378634,-1.0294957170606818,0.00010072847718167743,0.0016,True
H2,H2_R1.33,1.33,0.859393546477421,1.3839360943297754,0.24332964080719643,HEA,6.0,4,24.0,20.0,18.0,-0.9644158954174789,-1.0295964455378634,-0.9725858364284306,0.0570106091094329,0.0016,False
